,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
135,2013,20SE,5,1,20,28.52,67.27,670.59,68.35,27.45,27.45,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
136,2013,20SE,5,4,10,0,0,108.18,0,748.09,1363.25,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
137,2013,20SE,5,4,20,23.68,301.93,0,2.69,655.52,1238.93,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
138,2013,20SE,6,1,10,0,136.7,33.37,52.74,72.66,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
139,2013,20SE,6,1,20,0,987.59,519.9,108.18,89.88,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
140,2013,20SE,6,4,10,47.9,555.96,0,0,62.43,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
141,2013,20SE,6,4,20,6.46,600.09,29.6,67.27,123.79,59.74,0,0,0,10,TGM,Sandy,129.46,527078,4519150
142,2013,21N,1,1,10,0,334.76,133.47,11.3,62.43,18.3,0,0,0,2,AGM,Loamy,125.71,519005,4518910
143,2013,21N,1,1,20,0,277.17,0,0,20.45,19.38,0,0,0,2,AGM,Loamy,125.71,519005,4518910
144,2013,21N,1,4,10,0,315.92,44.67,67.81,17.22,0,224.97,0,0,2,AGM,Loamy,125.71,519005,4518910
145,2013,21N,1,4,20,0,297.08,9.69,24.22,4.84,117.86,0,0,0,2,AGM,Loamy,125.71,519005,4518910
146,2013,21N,2,1,10,0,446.7,4.31,8.07,43.59,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
147,2013,21N,2,1,20,0,585.02,97.95,3.77,50.59,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
148,2013,21N,2,4,20,50.59,1018.8,3.77,27.99,29.06,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
149,2013,21N,3,1,10,0,376.74,178.14,31.75,45.75,24.22,0,0,0,2,AGM,Loamy,125.71,517934,4518920
150,2013,21N,3,1,20,0,285.78,0,0,21.53,0,0,0,0,2,AGM,Loamy,125.71,517934,4518920
151,2013,21N,3,4,10,5.38,472.54,3.23,165.76,0,0,768.54,0,0,2,AGM,Loamy,125.71,517934,4518920
152,2013,21N,3,4,20,0,288.47,96.88,568.87,9.15,18.3,903.09,0,0,2,AGM,Loamy,125.71,517934,4518920
153,2013,21N,4,1,10,0,155.54,104.95,297.62,18.3,250.8,0,0,0,2,AGM,Loamy,125.71,517801,4519150
154,2013,21N,4,1,20,0,192.14,559.72,2.69,6.46,0,0,0,0,2,AGM,Loamy,125.71,517801,4519150
155,2013,21N,4,4,10,1.61,823.98,109.25,29.06,12.92,0,72.66,0,0,2,AGM,Loamy,125.71,517801,4519150
156,2013,21N,4,4,20,0,223.35,2.15,3.23,2.15,0,0,0,0,2,AGM,Loamy,125.71,517801,4519150
157,2013,24W,1,1,10,151.23,105.49,2.15,99.03,98.49,51.67,0,0,0,2,TGM,Loamy,125.34,522810,4518150
158,2013,24W,1,1,20,78.58,299.78,0,39.83,37.14,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
159,2013,24W,1,4,10,0,320.23,52.2,19.38,38.21,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
160,2013,24W,1,4,20,4.84,631.3,0,35.52,57.59,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
161,2013,24W,2,1,10,136.7,458,0,13.45,13.45,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
162,2013,24W,2,1,20,61.35,189.44,0,5.92,148.54,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
163,2013,24W,2,4,10,4.31,258.87,35.52,9.15,167.38,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
164,2013,24W,2,4,20,0,260.49,186.22,7,468.77,57.05,64.05,0,0,2,TGM,Loamy,125.34,522601,4518310
165,2013,24W,3,1,10,5.38,233.58,51.67,0,68.89,0,0,0,0,2,TGM,Loamy,125.34,522806,4518740
166,2013,24W,3,1,20,128.63,365.43,6.46,268.56,57.59,0,0,0,0,2,TGM,Loamy,125.34,522806,4518740
167,2013,24W,3,4,10,0,868.65,0,9.15,156.08,12.38,0,0,0,2,TGM,Loamy,125.34,522806,4518740
