Row,YearSampled,Pasture,C3PGObj,Plot,Transect,Distance,Block,Treatment,Ecosite,FGCode,kgPerHa
319,2013,18S,,3,4,10,6,AGM,Sandy,SD,236.806152
320,2013,18S,,3,4,20,6,AGM,Sandy,BOBU,477.9178704
321,2013,18S,,3,4,20,6,AGM,Sandy,FORB,25.8333984
322,2013,18S,,3,4,20,6,AGM,Sandy,SD,52.2049926
323,2013,18S,,3,4,20,6,AGM,Sandy,SS,33.9063354
324,2013,18S,,3,4,20,6,AGM,Sandy,WSPG,66.7362792
325,2013,18S,,4,1,10,6,AGM,Sandy,BOBU,438.0913812
326,2013,18S,,4,1,10,6,AGM,Sandy,C3PG,34.982727
327,2013,18S,,4,1,10,6,AGM,Sandy,FORB,8.072937
328,2013,18S,,4,1,10,6,AGM,Sandy,SD,59.7397338
329,2013,18S,,4,1,20,6,AGM,Sandy,BOBU,485.9908074
330,2013,18S,,4,1,20,6,AGM,Sandy,C3PG,64.583496
331,2013,18S,,4,1,20,6,AGM,Sandy,FORB,59.7397338
332,2013,18S,,4,1,20,6,AGM,Sandy,SD,228.733215
333,2013,18S,,4,1,20,6,AGM,Sandy,SS,245.9554806
334,2013,18S,,4,4,10,6,AGM,Sandy,BOBU,214.7401242
335,2013,18S,,4,4,10,6,AGM,Sandy,FORB,111.9447264
336,2013,18S,,4,4,10,6,AGM,Sandy,SD,56.510559
337,2013,18S,,4,4,10,6,AGM,Sandy,WSPG,266.406921
338,2013,18S,,4,4,20,6,AGM,Sandy,BOBU,182.4483762
339,2013,18S,,4,4,20,6,AGM,Sandy,C3PG,65.1216918
340,2013,18S,,4,4,20,6,AGM,Sandy,SD,797.6061756
341,2013,18S,,4,4,20,6,AGM,Sandy,WSPG,268.5597042
342,2013,19N,,1,1,10,6,TGM,Sandy,BOBU,391.8065424
343,2013,19N,,1,1,10,6,TGM,Sandy,C3PG,568.3347648
344,2013,19N,,1,1,10,6,TGM,Sandy,FORB,530.122863
345,2013,19N,,1,1,10,6,TGM,Sandy,SD,207.205383
346,2013,19N,,1,1,20,6,TGM,Sandy,BOBU,69.4272582
347,2013,19N,,1,1,20,6,TGM,Sandy,C3PG,120.0176634
348,2013,19N,,1,1,20,6,TGM,Sandy,FORB,636.1474356
349,2013,19N,,1,1,20,6,TGM,Sandy,SD,56.510559
350,2013,19N,,1,1,20,6,TGM,Sandy,WSPG,186.7539426
351,2013,19N,,1,4,10,6,TGM,Sandy,BOBU,99.0280272
352,2013,19N,,1,4,10,6,TGM,Sandy,C3PG,434.3240106
353,2013,19N,,1,4,10,6,TGM,Sandy,FORB,21.527832
354,2013,19N,,1,4,10,6,TGM,Sandy,SD,15.0694824
355,2013,19N,,1,4,10,6,TGM,Sandy,WSPG,111.9447264
356,2013,19N,,1,4,20,6,TGM,Sandy,BOBU,199.132446
