  209 TX3257.DLY     30.83 -100.11    704. FT MCKAVETT     
  210 TX3262.DLY     30.60 -103.89   1481. FORT DAVIS      
  211 TX3266.DLY     31.18 -105.74   1190. FORT HANCOCK 8SS
  212 TX3280.DLY     30.91 -102.92    926. FT. STOCKTON    
  213 TX3283.DLY     32.83  -97.05    175. FORT WORTH WB AP
  214 TX3284.DLY     32.82  -97.36    209. FORT WORTH MEACH
  215 TX3285.DLY     32.83  -97.30    196. FORT WORTH WSFO 
  216 TX3286.DLY     32.73  -97.33    201. FORT WORTH VICKE
  217 TX3289.DLY     32.85  -97.48    187. FORT WORTH NATUR
  218 TX3299.DLY     28.47  -98.82     98. FOWLERTON       
  219 TX3321.DLY     31.03  -96.49    142. FRANKLIN        
  220 TX3325.DLY     32.07  -95.55    131. FRANKSTON 3 WNW 
  221 TX3329.DLY     30.24  -98.91    514. FREDERICKSBURG  
  222 TX3340.DLY     28.98  -95.38      2. FREEPORT 2 NW   
  223 TX3341.DLY     27.88  -98.62    152. FREER           
  224 TX3368.DLY     34.64 -102.71   1222. FRIONA          
  225 TX3411.DLY     32.77 -101.44    771. GAIL            
  226 TX3415.DLY     33.64  -97.14    238. GAINESVILLE     
  227 TX3420.DLY     33.65  -97.06    265. GAINESVILLE 5 EN
  228 TX3430.DLY     29.33  -94.77      3. GALVESTON       
  229 TX3431.DLY     29.27  -94.87      2. GALVESTON WB AIR
  230 TX3442.DLY     34.92 -102.73   1260. GARCIA LAKE 12 E
  231 TX3444.DLY     26.32  -98.68     53. GARCIASVILLE 2 E
  232 TX3445.DLY     31.87 -101.48    805. GARDEN CITY     
  233 TX3485.DLY     31.38  -97.72    232. GATESVILLE 4 SSE
  234 TX3506.DLY     30.63  -97.68    228. GEORGETOWN      
  235 TX3507.DLY     30.68  -97.72    256. GEORGETOWN LAKE 
  236 TX3546.DLY     32.75  -95.05    119. GILMER 4 WNW    
  237 TX3565.DLY     32.53  -94.96     74. GLADEWATER 3 WSW
  238 TX3591.DLY     32.23  -97.79    200. GLEN ROSE 2 W   
  239 TX3605.DLY     30.35  -98.69    500. GOLD            
  240 TX3614.DLY     31.44  -98.59    459. GOLDTHWAITE 1 WS
  241 TX3618.DLY     28.66  -97.39     43. GOLIAD          
  242 TX3622.DLY     29.53  -97.45    116. GONZALES 1N     
  243 TX3623.DLY     29.50  -97.45     92. GONZALES 2      
  244 TX3668.DLY     33.10  -98.58    320. GRAHAM          
  245 TX3673.DLY     32.45  -97.75    220. GRANBURY 2 ENE  
  246 TX3675.DLY     32.52  -97.81    237. GRANBURY 5N     
  247 TX3680.DLY     31.30 -102.82    739. GRANDFALLS 3 SSE
